awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,_on_create_called,_on_deploy_called,ready_for_trials,key,degree,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
False,{},27,2023-11-29 16:20:45,False,,,TrialSource,27,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_059.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_059.wav""}",,default,default,False,11,StaticNode,Node
False,{},28,2023-11-29 16:20:45,False,,,TrialSource,28,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_065.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_065.wav""}",,default,default,False,11,StaticNode,Node
False,{},29,2023-11-29 16:20:45,False,,,TrialSource,29,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_071.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_071.wav""}",,default,default,False,11,StaticNode,Node
False,{},30,2023-11-29 16:20:45,False,,,TrialSource,30,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_054.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_054.wav""}",,default,default,False,11,StaticNode,Node
False,{},31,2023-11-29 16:20:45,False,,,TrialSource,31,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_097.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_097.wav""}",,default,default,False,10,StaticNode,Node
False,{},32,2023-11-29 16:20:45,False,,,TrialSource,32,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_108.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_108.wav""}",,default,default,False,10,StaticNode,Node
False,{},33,2023-11-29 16:20:45,False,,,TrialSource,33,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_109.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_109.wav""}",,default,default,False,11,StaticNode,Node
False,{},34,2023-11-29 16:20:45,False,,,TrialSource,34,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_095.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_095.wav""}",,default,default,False,11,StaticNode,Node
False,{},35,2023-11-29 16:20:45,False,,,TrialSource,35,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_081.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_081.wav""}",,default,default,False,11,StaticNode,Node
False,{},36,2023-11-29 16:20:45,False,,,TrialSource,36,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_052.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_052.wav""}",,default,default,False,11,StaticNode,Node
